"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
8.0129,-0.945449934528627,-0.100625937013031
8.013,-0.945401059149027,-0.100089346050244
8.0131,-0.945350855705388,-0.0995485585948817
8.0132,-0.945299294925601,-0.0990034948029198
8.0133,-0.945246346662992,-0.0984540727969948
8.0134,-0.945191979864056,-0.0979002086015292
8.0135,-0.945136162534782,-0.0973418160753631
8.0136,-0.945078861705478,-0.0967788068417103
8.0137,-0.945020043394024,-0.0962110902154617
8.0138,-0.944959672567511,-0.0956385731276473
8.0139,-0.944897713102118,-0.0950611600468766
8.014,-0.944834127741171,-0.0944787528976821
8.0141,-0.944768878051295,-0.093891250975644
8.0142,-0.944701924376547,-0.0932985508590408
8.0143,-0.944633225790406,-0.0927005463170254
8.0144,-0.944562740045526,-0.0920971282139222
8.0145,-0.944490423521138,-0.0914881844097565
8.0146,-0.944416231167941,-0.0908735996565985
8.0147,-0.944340116450378,-0.0902532554906294
8.0148,-0.944262031286122,-0.0896270301196791
8.0149,-0.944181925982638,-0.0889947983060863
8.015,-0.944099749170665,-0.0883564312445589
8.0151,-0.944015447734392,-0.0877117964348125
8.0152,-0.943928966738208,-0.0870607575487721
8.0153,-0.94384024934979,-0.0864031742920447
8.0154,-0.943749236759313,-0.0857389022593365
8.0155,-0.943655868094579,-0.0850677927835575
8.0156,-0.943560080331807,-0.0843896927781984
8.0157,-0.943461808201834,-0.0837044445728188
8.0158,-0.943360984091455,-0.0830118857411146
8.0159,-0.943257537939603,-0.0823118489211617
8.016,-0.943151397128058,-0.0816041616275898
8.0161,-0.943042486366364,-0.0808886460551499
8.0162,-0.942930727570575,-0.0801651188732015
8.0163,-0.942816039735455,-0.0794333910106757
8.0164,-0.942698338799737,-0.0786932674309406
8.0165,-0.942577537503993,-0.077944546896183
8.0166,-0.94245354524062,-0.0771870217204141
8.0167,-0.94232626789548,-0.0764204775108089
8.0168,-0.942195607680635,-0.0756446928965372
8.0169,-0.942061462957576,-0.0748594392444154
8.017,-0.94192372805036,-0.0740644803606442
8.0171,-0.941782293047941,-0.073259572177787
8.0172,-0.941637043595021,-0.0724444624263065
8.0173,-0.941487860670609,-0.0716188902895721
